seed,l1_staff,l2_staff,arrivals,served,avg_wait_min,p95_wait_min,util_l1,fcr,reopen,voc_mean,sla_2min
12374,10,6,2603,2497,536.751434481074,2785.427671001787,0.39583989813520093,0.6872246696035242,0.01802162595114137,3.3282249700228173,0.04925911093311974
12345,10,8,2806,2719,400.29075915356066,1640.4633803383945,0.4169818623980003,0.6237587348289813,0.02942258183155572,3.2227894578637684,0.04928282456785583
12346,10,8,2851,2712,434.672183147564,1836.5880735463245,0.4270521837050705,0.6286873156342183,0.029498525073746312,3.2128280312188893,0.04535398230088496
12347,10,8,2954,2847,262.0195620435012,1354.6192407254346,0.450078771053581,0.6231120477695821,0.02985598876009835,3.2110714456439307,0.042500878117316475
12348,10,8,2853,2799,371.74159665073864,1598.7347428631747,0.43791649554340417,0.6202215076813148,0.02750982493747767,3.2201609453485456,0.04823151125401929
12349,10,8,2857,2741,307.1470930931722,1475.4759370186734,0.43442708915140393,0.614009485589201,0.025173294418095585,3.1961502634688075,0.03575337468077344
12350,10,8,2901,2797,369.7945043976066,1574.642518193459,0.43371530913765194,0.6213800500536288,0.03360743653914909,3.2100212517919604,0.04504826599928495
12351,10,8,2731,2658,429.6608774786931,1759.4031797827586,0.4152609189515742,0.6380737396538751,0.024830699774266364,3.2443379390829827,0.047780285929270125
12352,10,8,2789,2687,421.739975368034,1874.6885678817648,0.43439245293514905,0.6241161146259769,0.030889467807964272,3.206794512949972,0.03982136211388165
12353,10,8,2774,2717,393.0621000227043,1574.4599583525908,0.4344587183489365,0.6142804563857196,0.02981229297018771,3.1991414168145993,0.047110783952889215
12354,10,8,2743,2683,444.1942985954533,2035.1231736697932,0.40582668456998844,0.6429370108087962,0.03130823704808051,3.2549444686927598,0.048453224002981736
12355,10,8,2791,2701,352.4279414753008,1618.4910684154058,0.4295097432390554,0.6330988522769345,0.02702702702702703,3.23249946125345,0.03776379118844872
12356,10,8,2837,2755,436.423339616223,1732.6178724156598,0.440347204888159,0.6272232304900182,0.0279491833030853,3.2224787335920544,0.041379310344827586
12357,10,8,2708,2651,404.0942403357718,1953.65431916835,0.40514373406351883,0.6412674462466994,0.033949453036589965,3.259875487081222,0.04941531497548095
12358,10,8,2889,2774,454.63224388399675,1926.0570919600382,0.43279201058853123,0.6294160057678443,0.03316510454217736,3.2184138253019197,0.04542177361211247
12359,10,8,2664,2579,417.0634402177711,1924.0950504675704,0.39502195851059546,0.6293136874757658,0.030632027917797598,3.233314488710022,0.046141915471112835
12360,10,8,2859,2773,423.51572772007853,1775.1455753239588,0.43407629132538206,0.6343310494049765,0.029210241615578794,3.2423316746985043,0.05012621709340065
12361,10,8,2733,2636,435.33779005255786,1915.9428216592567,0.40829186087784197,0.6323975720789075,0.030349013657056147,3.243069146132116,0.0409711684370258
12362,10,8,2772,2683,407.15947235074293,1858.207034376802,0.43278419719796796,0.6339918002236302,0.035035408125232946,3.2268480077994606,0.048825941110696984
12363,10,8,2775,2693,364.6497173154481,1591.9724158968047,0.42531653754735543,0.6193835870776087,0.03156331229112514,3.211957340036262,0.04901596732268845
12364,10,8,2801,2704,344.36043056728005,1627.83236648262,0.411852013757143,0.6294378698224852,0.03735207100591716,3.22011779031305,0.04992603550295858
12365,10,8,2711,2641,341.03909650047063,1673.0575038498666,0.41259330363309293,0.6489965921999242,0.02839833396440742,3.272801395335913,0.05263157894736842
12366,10,8,2786,2644,387.9543447542649,1871.173160493363,0.4285446633682597,0.6414523449319214,0.029500756429652043,3.2447027549213026,0.046142208774583963
12367,10,8,2901,2805,390.42618049538453,1806.1396730562842,0.4389731972092937,0.6392156862745098,0.03137254901960784,3.240728733660251,0.03636363636363636
12368,10,8,2701,2647,335.54267130906976,1497.8020879766436,0.41532854504194133,0.6252361163581412,0.026445032111824706,3.239066956780815,0.05062334718549301
12369,10,8,2703,2631,390.62662808158746,1895.4677666476714,0.3983985350202512,0.6423413150893197,0.023185100722158875,3.268596753288249,0.049410870391486124
12370,10,8,2838,2757,403.1063010766616,1601.1200633373985,0.42746119498229307,0.6278563656147987,0.033369604642727604,3.2168867811016346,0.05404425099746101
12371,10,8,2673,2619,421.83725348794695,2088.7151679751564,0.4040703257300222,0.6456662848415425,0.029018709431080564,3.264175652985145,0.05078274150439099
12372,10,8,2817,2750,257.18390077351313,1258.0333863229587,0.4297251516056011,0.6243636363636363,0.03781818181818182,3.219210402959988,0.048
12373,10,8,2836,2770,320.31587283144296,1355.835292056121,0.4308678185558079,0.6144404332129964,0.027436823104693142,3.1904390200592396,0.04512635379061372
12374,10,8,2804,2741,397.005795380168,1799.6968287779591,0.43043205185190314,0.6121853338197738,0.037212696096315216,3.193323743369317,0.04232032105071142
12345,12,4,2404,2380,517.5196921976054,3502.612203472056,0.3100943718117556,0.7579831932773109,0.023949579831932775,3.4714200486832056,0.06512605042016807
